lfhf,pnn50,sloc,ted,elapsed-seconds,label
3.26,0.11,16,2,10,0
3.32,0.11,16,2,11,0
3.34,0.11,16,2,12,0
3.37,0.11,16,2,13,0
3.41,0.11,16,2,14,0
3.41,0.11,16,2,15,0
3.44,0.11,16,2,16,0
3.42,0.11,16,2,17,0
3.41,0.11,16,2,18,0
3.4,0.11,16,2,19,0
3.35,0.1,16,2,20,0
3.32,0.1,16,2,21,0
3.29,0.1,16,2,22,0
3.25,0.1,16,2,23,0
3.16,0.1,16,2,24,0
3.11,0.1,16,2,25,0
3.0,0.1,16,2,27,0
2.85,0.11,16,2,28,0
2.82,0.11,16,2,29,0
2.69,0.1,16,2,30,0
2.63,0.1,16,2,31,0
2.57,0.1,16,2,32,0
2.51,0.1,16,2,33,0
2.42,0.09,16,2,34,0
2.3,0.09,16,2,36,0
2.23,0.08,16,2,37,0
2.12,0.08,16,2,38,0
2.07,0.09,16,2,39,0
2.04,0.09,16,2,40,0
1.97,0.09,16,2,41,0
1.93,0.09,16,2,42,0
1.91,0.09,16,2,43,0
1.86,0.1,16,2,44,0
1.85,0.11,16,2,45,0
1.83,0.11,16,2,46,0
1.82,0.11,16,2,47,0
1.82,0.12,16,2,48,0
1.83,0.12,16,2,49,0
1.87,0.12,16,2,50,0
1.89,0.12,16,2,51,0
1.91,0.12,16,2,52,0
1.94,0.12,16,2,53,0
2.02,0.12,16,2,54,0
2.08,0.11,16,2,55,0
2.19,0.11,16,2,56,0
2.26,0.11,16,2,57,0
2.34,0.11,16,2,58,0
2.43,0.12,16,2,59,0
2.62,0.13,16,2,60,0
2.72,0.12,16,2,61,0
2.83,0.12,16,2,62,0
2.87,0.12,16,2,63,0
3.15,0.12,16,2,64,0
3.26,0.11,16,2,65,0
3.37,0.11,16,2,66,0
3.49,0.11,16,2,67,0
3.7,0.1,16,2,68,0
3.8,0.1,16,2,69,0
3.9,0.1,16,2,70,0
4.07,0.1,16,2,71,0
4.17,0.1,16,2,72,0
4.33,0.1,16,2,73,0
4.4,0.1,16,2,74,0
4.46,0.11,16,2,75,0
4.5,0.11,16,2,76,0
4.57,0.12,16,2,77,0
4.59,0.12,16,2,78,0
4.6,0.12,16,2,79,0
4.58,0.12,16,2,80,0
4.63,0.12,16,2,81,0
4.58,0.12,16,2,82,0
4.56,0.13,16,2,83,0
4.54,0.14,16,2,84,0
4.51,0.14,16,2,85,0
4.48,0.14,16,2,86,0
4.4,0.15,16,2,87,0
4.37,0.15,16,3,0,0
4.33,0.15,16,0,0,0
4.25,0.16,16,0,0,0
4.21,0.16,16,0,1,0
4.18,0.17,16,0,2,0
4.14,0.17,16,0,3,0
4.06,0.17,16,0,4,0
4.03,0.17,16,0,5,0
3.99,0.17,16,0,6,0
3.96,0.17,16,0,7,0
3.93,0.17,16,0,8,0
3.88,0.18,16,0,9,0
3.86,0.18,16,0,10,0
3.83,0.17,16,0,11,0
3.8,0.17,16,0,12,0
3.78,0.17,16,0,13,0
3.77,0.17,16,0,14,0
3.77,0.18,16,0,15,0
3.73,0.18,17,2,0,0
3.73,0.17,17,2,1,0
3.73,0.17,17,2,2,0
3.75,0.17,17,2,3,0
3.76,0.17,17,2,4,0
3.77,0.17,17,2,5,0
3.81,0.17,17,2,6,0
3.86,0.17,17,2,7,0
3.89,0.17,17,2,8,0
3.92,0.17,17,2,9,0
4.0,0.16,17,2,10,0
4.03,0.16,17,0,0,0
4.15,0.15,17,0,1,0
4.18,0.15,17,0,2,0
4.3,0.15,17,0,3,0
4.37,0.14,17,0,4,0
4.44,0.13,17,0,5,0
4.57,0.13,17,0,6,0
4.65,0.13,17,0,7,0
4.76,0.13,17,0,8,0
4.88,0.14,17,0,9,1
5.05,0.14,17,0,10,1
5.13,0.14,17,0,11,1
5.21,0.14,17,0,12,1
5.36,0.14,17,0,13,1
5.43,0.14,17,0,14,1
5.49,0.14,17,0,15,1
5.59,0.14,17,0,16,1
5.66,0.13,17,0,17,1
5.74,0.13,17,0,18,1
5.79,0.13,17,0,19,1
5.82,0.13,17,0,20,1
5.88,0.13,17,0,21,1
